cutmix_prob,cutmix_alpha,mean_acc,std_acc,sem,ci_95_lower,ci_95_upper,n_runs,avg_time
0.0,0.0,0.9402,0.0014,0.0002,0.9399,0.9406,62,3.8418
0.2,1.0,0.9369,0.0015,0.0002,0.9364,0.9374,40,3.8589
0.3,1.0,0.9346,0.0015,0.0002,0.9341,0.9351,40,3.8617
0.4,1.0,0.9323,0.0014,0.0002,0.9318,0.9327,40,3.8669
0.5,0.2,0.933,0.0016,0.0003,0.9324,0.9335,30,3.88
0.5,0.5,0.9312,0.0014,0.0003,0.9307,0.9317,30,3.8758
0.5,1.0,0.9299,0.0017,0.0002,0.9295,0.9304,50,3.8725
0.5,2.0,0.9289,0.0014,0.0003,0.9284,0.9295,30,3.8723
0.5,5.0,0.928,0.0016,0.0003,0.9274,0.9286,30,3.8734
0.6,1.0,0.9276,0.0017,0.0003,0.927,0.9281,40,3.8767
0.7,1.0,0.9252,0.0018,0.0003,0.9246,0.9258,40,3.8884
0.8,1.0,0.9218,0.002,0.0004,0.9211,0.9225,30,3.8923
